2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
1.9825,4.014,1.5907,3.0228,-4.9745,-4.5095,-3.467,-5.1011,-0.8318,-9.0966,-7.6457,-9.2663,-7.0079,0.3958,-2.0625,-3.7235,-18.3972,-17.7358,-16.6763,-10.7013,3.5108,5.797,6.3626,8.7608,5.6228,3.4907,3.1238,0.886,1.1075,-18.4806
-10.05,-1.2871,2.4399,0.9589,10.9491,6.1415,1.5943,2.6056,6.1453,3.6585,3.068,2.391,-8.3518,-5.7752,-4.9124,0.2635,-6.1027,-3.3213,0.0075,-0.4287,2.8128,6.1315,1.8643,-1.744,-0.6549,-0.7453,-0.5907,0.9746,10.6258,-7.3172
-9.499,-12.3777,-12.7497,-5.8026,4.3875,0.8946,-2.8658,0.1244,-2.2445,0.3999,-0.1506,-4.265,0.3222,0.2838,0.1049,5.6916,11.3497,8.1284,7.6285,-3.543,46.8192,20.6356,16.3603,10.6424,-50.6268,-15.6844,-10.602,17.8269,13.9697,-19.675
-12.803,-2.9907,-0.0608,0.1915,-1.9486,-0.0745,0.3084,0.1342,-1.5203,-1.5113,-1.026,-1.0659,-0.0031,2.1609,1.4618,3.0954,-2.8076,-1.2605,1.8471,-1.0235,0.4263,0.46,-1.8968,-1.9106,-5.3957,-6.5408,-6.512,-5.7998,-3.1927,-8.4019
1.0047,-0.0262,-0.7277,-0.6772,1.6203,2.4247,3.024,1.8392,-2.2062,-1.5067,-1.5494,-0.918,2.1105,1.1145,1.3,1.5483,1.7853,1.7906,1.4984,0.8087,-0.1743,-0.0451,-0.8279,-1.101,-2.6945,-2.8447,-0.8959,-1.081,1.1312,1.5542
5.959,-10.2863,-10.0585,-15.0258,-3.3171,-5.3245,-6.584,-5.1465,-8.6711,-2.5362,-6.1066,-4.7511,0.7519,42.0845,51.6075,9.8568,-42.8011,-39.796,-55.0944,6.3122,41.6084,-8.162,-0.6089,-13.5748,449.1203,176.2451,111.0522,51.9503,-441.1303,-176.747
0.5583,-1.3118,-1.7336,-3.2909,3.6714,-0.4229,-1.6567,-1.8734,-1.4064,-1.3511,0.935,3.6796,-1.1945,5.1291,5.1963,3.317,2.1679,2.7947,0.4386,-1.5108,-1.5206,4.2074,6.8052,6.6382,-1.0253,-5.5917,-5.9405,-5.3703,-3.5254,-7.8728
0.1153,1.9372,1.3329,1.2875,-0.1494,-2.1563,-3.0361,-3.1137,-0.8097,-0.676,-0.0771,0.4369,0.1444,0.4974,0.8271,0.6858,0.3117,0.6156,0.8283,0.643,0.4436,0.1396,-0.1128,-0.3955,-0.0169,0.5558,0.4487,0.2231,0.2836,-2.9371
-17.1363,-6.7775,-7.4657,-14.149,8.8234,-3.1297,-1.2571,-0.3043,-48.1269,-16.0653,-4.9269,11.2843,10.6159,-1.1347,-10.0139,-39.3934,-11.7466,-15.5497,-28.0861,-156.2256,-32.0878,-42.8589,-26.2835,-26.7655,37.803,221.2587,112.7091,270.0578,44.9987,-141.1252
0.7398,5.3959,7.3723,9.8105,-7.7409,4.2984,4.2961,-10.9832,0.7821,-9.0615,-0.863,1.3701,15.7675,8.8433,3.6524,2.6624,-0.8216,-0.1341,-0.8562,1.7354,5.8319,5.0618,6.6837,2.7133,0.7419,1.3855,0.3473,0.8621,-0.74,-21.0198
3.9943,1.554,1.3065,2.6015,6.295,5.8126,5.2212,3.3928,-0.6436,0.4833,0.1769,-1.9823,-7.6383,-4.9195,-4.7164,-5.4086,-3.1176,-8.2278,-8.3118,-7.8247,-17.8343,-9.7628,-8.8165,-1.9896,-10.9795,-6.0745,-1.9147,-4.9582,23.2058,9.2423
1.8672,-7.3664,-3.8663,-0.9384,1.1113,0.3137,-0.428,-0.2676,-3.0263,-2.7914,-2.2193,-0.9825,0.7801,0.8419,0.5731,0.0665,-0.8262,-1.1042,-0.419,0.0699,-0.7628,1.4969,0.3414,2.4246,1.2006,0.3551,0.3025,0.3679,0.8411,0.3813
-14.3276,-15.512,-10.6696,57.8851,5.7103,3.6964,5.0429,-60.1022,-5.0282,-12.2651,-18.4957,-19.6625,3.8216,0.05,5.7018,-3.9454,-3.9006,-4.5904,-0.5439,7.9827,-12.6199,16.2328,-16.9668,-2.4301,-44.9685,-24.7446,13.2272,-1.9829,15.8061,7.0343
0,-4.8501,0,-6.3572,0,-3.3942,0,-8.4247,0,-4.5871,30.8753,-5.4121,0,-1.5879,2.6735,2.43,37.4575,1.9116,3.7709,8.4154,5.668,7.7821,2.5388,0.3171,-6.8306,-8.4465,-1.1133,-3.2427,-1.0735,-35.6236
2.927,-5.1053,-2.6734,-4.3866,-7.0057,3.8876,3.471,2.2388,7.8381,4.7065,8.3397,8.183,0.429,1.5934,11.9089,13.9595,9.3314,5.9452,-5.6065,-3.5799,0.0377,0.3554,-1.0173,-4.532,-0.7892,-1.8551,-1.5363,-5.5198,-22.804,1.4194
-0.1419,0.294,0.9555,1.0231,-1.2989,-2.0157,-1.7205,-0.8971,2.3179,1.9443,2.0899,1.023,0.8694,1.3661,1.1041,0.8735,1.3034,2.1422,1.8148,1.362,1.1458,1.5121,1.6004,1.6206,2.2626,2.3519,1.1961,0.1318,-3.0258,-13.1974
6.093,2.6333,1.2437,1.529,-0.6632,-0.4791,-1.0398,-2.111,-3.521,-3.434,-3.8738,-3.815,-1.9349,-0.3153,-0.4255,-0.168,0.36,4.3059,2.0522,0.7167,-2.6142,-8.1272,-5.9576,-4.33,-0.6553,0.2045,0.6834,0.9257,0.5688,-3.7873
0.855,0.5566,-0.2433,-1.1717,-0.4498,-0.7528,-0.4893,0.5609,1.4747,-0.7118,-0.6778,1.6409,6.8383,3.8725,4.7477,2.1508,0.9213,1.8194,3.8717,4.6586,-10.8192,-8.6064,-9.3297,-4.4537,0.5988,-0.4817,0.0626,-1.18,2.316,-3.8398
5.4436,-0.303,-1.2393,-1.1662,-2.0163,-1.3711,-2.6365,-4.1204,-15.4103,-10.3324,-10.7382,-9.1119,-13.9283,-5.0488,-1.2222,0.3207,4.0865,-0.9683,-2.3236,-3.0363,-22.5755,3.653,-8.9582,-17.5867,-13.8367,-18.5393,4.7044,19.1663,38.0794,19.5445
-40.9723,-25.2077,-13.9945,0.5583,34.8256,1.5736,4.5781,-1.2575,-7.7824,-3.3292,-7.2386,-5.7042,-20.6543,-9.5949,-1.9681,2.0573,-5.2208,-2.9033,-7.7084,-3.5792,48.1956,6.7907,6.2724,0.4276,-44.5331,-5.8383,-5.0138,-0.37,-7.6379,-12.2274
6.2623,4.1576,-1.0954,6.5862,9.0125,9.1762,4.1587,2.8556,-1.1075,0.9296,6.318,-0.3167,12.4552,11.4364,12.1561,12.8586,97.6123,40.6853,16.5877,8.4472,-106.6006,-42.1345,-21.8151,-8.4846,-1.5017,-6.0342,-3.9438,-5.5501,4.8444,-13.3737
-1.1896,-2.4598,-2.5272,-3.5927,-0.6857,-0.7963,-1.239,-0.3289,1.0235,1.2907,1.6857,1.7504,1.8017,1.1591,0.9377,0.6889,1.2089,1.1405,0.5742,0.3543,-0.6356,0.1535,0.8777,0.7018,0.5792,0.5324,0.2731,0.8453,-0.2082,-0.8234
-1.211,-0.5989,-10.6835,-0.8119,-1.0086,-1.2661,-1.0652,-15.3126,0.0443,-0.4252,-1.7154,-6.6451,0.1197,0.0498,9.1298,8.6513,0.9344,0.6608,-5.4291,-0.4334,-0.7706,-0.0466,-1.3118,-0.1923,8.5167,-0.8461,-0.7922,-13.9248,-3.6755,-0.0489
