300052.SZ,open,high,low,close
2016-02-18,20.6100,20.9100,20.0700,20.17
2016-02-19,20.0400,21.1700,19.9000,20.8
2016-02-22,21.2500,21.9900,20.9000,21.55
2016-02-23,21.6900,21.6900,20.7000,21.2
2016-02-24,21.0300,21.2900,20.2700,21.21
2016-02-25,21.0300,21.0400,19.0900,19.09
2016-02-26,19.0900,19.1900,17.7700,18.3
2016-02-29,18.1200,18.2000,16.4700,16.48
2016-03-01,16.6000,18.1300,16.0200,18.13
2016-03-02,18.8800,19.9400,18.8800,19.94
2016-03-03,21.9100,21.9300,21.5300,21.93
2016-03-04,22.7400,22.7400,20.1000,20.35
2016-03-07,21.1100,22.3900,20.4500,22.39
2016-03-08,21.5000,24.6300,20.1500,24.63
2016-03-09,23.7300,27.0900,23.5000,25
2016-03-10,24.0000,24.6500,22.8300,23.51
2016-03-11,23.0700,24.1800,22.5800,23.05
2016-03-14,23.5500,25.3600,23.1300,24.8
2016-03-15,24.2200,25.5500,23.9100,23.97
2016-03-16,24.4100,25.4500,22.8300,24.3
2016-03-17,24.1600,26.4600,24.0100,25.99
2016-03-18,25.8000,28.2100,25.5900,26.9
2016-03-21,26.6000,27.6800,26.3000,27.3
2016-03-22,26.5000,29.3600,26.3800,27.07
2016-03-23,26.6500,27.1900,26.2500,27.18
2016-03-24,26.7300,26.9000,25.9000,26.01
2016-03-25,25.2900,26.7500,25.1100,26.2
2016-03-28,26.4700,27.4700,26.0200,26.31
2016-03-29,25.8300,26.2400,24.8500,25.13
2016-03-30,25.6100,26.5800,25.3100,26.43
2016-03-31,26.5300,27.3800,26.3000,26.45
2016-04-01,26.0200,26.1500,25.0100,25.55
2016-04-05,25.0800,26.6000,25.0800,26.32
2016-04-06,26.0000,26.7600,25.7800,26.31
2016-04-07,26.6900,26.8000,25.3800,25.87
2016-04-08,25.4500,26.5500,25.0000,26.1
2016-04-11,26.4800,27.2000,26.0100,27.04
2016-04-12,27.0000,27.0300,25.8200,26.2
2016-04-13,26.3900,27.1900,26.2100,26.26
2016-04-14,26.3000,27.5000,26.3000,27.1
2016-04-15,27.1200,27.2900,26.3900,26.72
2016-04-18,26.2800,26.5000,25.7000,25.7
2016-04-19,25.9300,26.0800,25.1000,25.58
2016-04-20,25.6100,25.7800,23.0200,23.02
2016-04-21,23.0300,23.5700,22.0100,22.22
2016-04-22,22.0000,22.6800,21.8500,22.53
2016-04-25,22.3500,22.4600,21.4100,22.17
2016-04-26,22.2500,23.1500,22.1800,23.1
2016-04-27,22.9400,23.1600,22.3900,22.45
2016-04-28,22.5200,22.5800,21.5700,22.45
2016-04-29,22.1000,22.4600,21.9700,22
2016-05-03,22.0500,22.9800,21.8000,22.94
2016-05-04,22.9200,23.2700,22.7100,22.87
2016-05-05,22.6900,23.1900,22.6900,23.05
2016-05-06,22.9500,23.2000,21.4300,21.45
2016-05-09,20.8200,21.1000,20.0300,20.46
2016-05-10,20.2400,20.9100,20.2400,20.56
2016-05-11,20.9600,20.9600,20.0000,20.02
2016-05-12,19.3000,19.8400,19.0800,19.8
2016-05-13,19.7000,20.0700,19.2200,19.4
2016-05-16,19.4200,20.2400,19.3900,20.24
2016-05-17,20.2900,21.4300,19.7500,20.63
2016-05-18,20.2100,20.3100,19.0300,19.5
2016-05-19,19.7900,20.7800,19.6700,19.94
2016-05-20,19.6900,20.9300,19.4300,20.73
2016-05-23,20.5900,20.9400,20.5300,20.82
2016-05-24,20.7900,20.8800,20.1500,20.51
2016-05-25,20.7100,21.2000,20.4600,20.51
2016-05-26,20.5600,20.8800,19.8900,20.69
2016-05-27,20.7000,21.2000,20.4900,20.75
2016-05-30,20.3900,20.6500,19.9000,20.31
2016-05-31,20.4000,21.6700,20.3500,21.59
2016-06-01,21.3500,21.8600,21.3500,21.5
2016-06-02,21.5100,21.9600,21.5100,21.87
2016-06-03,23.3000,23.3000,21.8900,22.36
2016-06-06,22.2700,23.0000,22.1500,22.55
2016-06-07,22.5000,22.5800,21.9200,22.03
2016-06-08,22.0300,22.0300,22.0300,22.03
2016-06-13,22.0300,22.0300,22.0300,22.03
2016-06-14,22.0300,22.0300,22.0300,22.03
2016-06-15,22.0300,22.0300,22.0300,22.03
2016-06-16,22.0300,22.0300,22.0300,22.03
2016-06-17,22.0300,22.0300,22.0300,22.03
2016-06-20,22.0300,22.0300,22.0300,22.03
