,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
600969.SH,0.276131973,0.903896486,1.17717529,1.466934205,0.202407308,0.621756989,0.938382455,1.248665809,0.204084558,0.725672743,1.019807501,1.258314538,0.100212082,0.508225263,0.787799121,1.086873579,0.118234409,0.588148146,0.898032805,1.245524701,0.071964975,0.368449974,0.482900478,0.557447594,0.017695681,0.241973621,0.322013578,0.303855185,0.023675118,-0.086135306
600970.SH,2.455300461,3.379010995,5.243517067,6.85750905,1.138339728,2.365780846,3.303328514,4.810761757,1.368847268,1.611736866,2.748393515,2.038593812,0.458848367,1.251104934,1.540252727,0.006189826,0.57441823,0.807794289,1.512288531,0.443380912,0.325573924,0.753982331,1.017334862,1.629006493,0.392307191,0.569814196,0.860615376,0.827235659,0.194843249,1.020265764
600971.SH,1.160617776,2.458178594,3.391471094,3.570211041,0.873032402,1.70564987,1.931952386,2.199116313,0.629548027,1.033723827,1.535877006,1.357523317,-0.04957339,0.003585546,0.023800215,0.382809233,0.014462617,0.028795532,-0.006184337,-0.138970481,-0.574348661,-1.379533775,-2.277041059,-3.307898397,0.031614747,0.172509593,0.439601434,0.238679112,0.715358334,-0.096406503
600973.SH,0.08147125,0.313263582,0.910106346,1.121403206,-0.463305503,-0.469739023,-0.158679211,-0.025692494,0.205509499,0.330862399,0.633675488,0.759097152,-0.141811713,0.012712276,0.165910498,0.295488486,0.236926499,0.474487164,0.640298694,0.966328853,-0.012587034,0.270304709,0.682717371,0.866622998,0.138699848,0.233534397,0.540087317,1.417698457,-0.049956537,-0.000821642
600975.SH,-0.031992809,-0.00352639,-0.068759157,0.339744008,0.103724673,0.476077281,1.023922356,1.837975902,0.291020216,0.313886997,0.291064608,0.320738933,-0.001703159,-0.014811171,0.060787178,0.239525662,-0.701467541,-1.107382912,-1.104740235,-1.343267944,-0.699321802,-0.579557269,0.149273108,0.556731481,0.89772566,1.763908527,2.424832763,2.168204147,0.296239255,0.5421376
600976.SH,0.311253198,0.544645626,0.902046206,1.196061778,0.159983786,0.444413016,0.914845674,1.112299822,0.428168924,0.772668636,1.128385057,1.246608365,0.431787517,0.774537795,1.22125225,1.363818247,0.533999091,0.957839934,1.530723524,1.635945198,0.385870616,0.665337095,0.959187946,1.084876382,0.291162972,0.529770959,0.708608207,0.798493793,0.174558286,-0.067202013
600977.SH,-0.105390914,-0.119141732,-0.122645924,-0.136658674,-0.110087501,-0.118764937,-0.121988831,3.049677362,-0.106935246,-0.073580387,-0.084182089,2.573287608,-0.115518379,-0.108849897,-0.098550675,1.595800305,-0.071437535,-0.088549155,-0.072648144,1.628246357,-0.123277203,-0.071889118,-0.091001032,2.582891963,-0.106906416,1.683517483,1.754547215,1.658079994,0.446184936,-0.160086944
600978.SH,0.492711281,0.840410095,0.994684903,0.963310603,0.235586791,0.517765249,0.648615708,0.698644068,0.194441969,0.582064397,0.822519845,0.821074484,0.218417776,0.638863708,0.929828695,1.115643224,0.410697488,0.85175903,1.193886333,1.054482187,0.196108897,0.647276033,1.017192384,1.166298035,0.228985652,0.721828689,1.088546016,1.221617335,0.227799039,-0.109972377
600979.SH,-0.152240951,0.257106613,0.662738553,1.164746921,-0.080019123,0.075348702,0.386406332,0.680251178,-0.091880084,0.340495744,0.675128853,0.724310707,-0.165426691,0.202159519,0.487149941,0.525676906,0.082190143,0.391359183,0.629377523,-1.236682562,0.097349063,0.80799208,1.208478503,1.284905464,0.073716981,0.541418792,0.616712527,1.026936744,0.077866944,0.622590839
600980.SH,-0.383814228,-0.185625419,-0.201174054,0.141940983,-0.09638092,-0.284905785,-0.704655428,-1.362105675,-0.546335658,-0.853881639,-0.531128986,-1.074617774,0.094585083,0.236608849,0.979446554,0.775573223,0.045621665,0.062389311,0.054012627,-1.61760462,0.034966371,-0.061338481,0.012881404,1.034331178,0.091391412,0.271241023,0.428546685,0.840818276,0.040754775,-0.019916181
600981.SH,0.108368033,0.36459638,0.445190136,0.918733614,0.151838951,0.410575793,0.375327776,0.740785022,-0.044172107,0.209084285,0.244298893,0.34612152,0.08936207,0.255237848,0.331514795,0.453589608,-0.020668064,0.091950331,0.139070801,0.037125243,0.022538675,0.372828357,1.631811677,1.461425642,0.005719232,0.502943258,0.779622642,0.966284853,0.172996038,-0.111901465
600982.SH,0.577438029,1.053792818,1.328643045,2.23114601,0.519076576,0.953801186,1.550767077,1.585402673,0.641427195,0.871956,0.711910075,1.066064219,0.260045056,0.282563164,0.854184669,2.12397917,0.405500459,1.230207125,0.954340977,1.286305423,0.356556822,0.343744055,0.4714713,0.684802279,0.091160701,0.20993348,0.226593073,0.405507261,0.250696146,0.032544864
600983.SH,1.708834381,2.637571044,3.072627168,4.16727728,1.037587555,1.824459616,2.766039791,3.36046296,0.858829774,1.530698692,2.313197045,2.59542802,0.98543874,1.502317535,2.387348932,2.654724819,0.878978083,1.23272664,1.83768143,1.396064569,0.323749916,0.623696064,1.026637353,1.138363451,0.395995215,0.476670209,0.677505245,0.941197377,0.333344399,-0.073731727
600984.SH,-0.294111207,-0.482618191,-0.197434764,0.545201622,-0.771938476,-0.188552642,-0.24924791,0.341891436,-0.961312769,-0.195912212,-0.710696213,0.147528722,-1.563501294,-3.625760543,-4.406477984,-3.251945259,-0.204967212,-0.516181492,-0.690348778,-2.653608548,-0.540916958,-0.888036989,0.045579519,0.048681729,-0.175229208,0.081117895,0.201487656,0.219765214,-0.168729824,-0.017822324
600985.SH,0.655249029,1.194171364,1.643037169,1.847622224,0.295561548,0.698495635,0.980944059,0.913743662,0.162297263,0.483451464,0.857670871,0.879333691,0.157818141,0.675106406,1.193289693,1.129906045,0.580924722,0.894327527,1.224837753,1.214919009,0.188167604,0.55998491,0.74796451,1.359320763,0.137583758,0.563058865,0.926942075,0.932739944,0.052410328,-0.074776521
600986.SH,-0.314126779,0.378054392,0.561345556,0.077515745,-0.056579838,0.272354663,0.314158753,0.313722743,0.975766841,0.655690628,0.575727431,0.317291775,-0.349950356,-0.045248219,-0.257484317,0.572819048,-0.01787945,0.375065549,1.015885956,0.94151385,-0.012465698,0.218844844,0.756368281,0.705959989,-0.087535332,0.469065498,0.987397763,1.331252403,0.268684074,0.792646869
600987.SH,0.416056198,1.000605195,1.522864924,2.241510398,0.312265521,0.972828259,1.520076927,2.201940426,0.378170503,0.960935467,1.532733947,2.162238757,0.454116048,1.037536974,1.604798098,2.726577404,0.388965461,1.09196958,1.636814705,2.569041626,0.471055357,1.133022905,1.779832446,2.4395207,0.484593102,1.132822786,1.663094308,2.468473645,0.437527003,1.390620729
600988.SH,0.226808271,-0.039758392,-0.031718006,-0.044856707,-0.072316723,-0.092832694,-0.099917625,-0.175349317,-0.129502154,-0.176801503,-0.161189106,11.98660437,-1.028280508,1.620115451,3.365740089,5.738357779,0.614159927,1.711903921,2.394868447,3.83913615,0.102712138,1.048994114,0.68182232,1.846537601,0.004579975,0.390650442,0.801071629,1.678753802,-0.055867913,0.009325528
